,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
63,X05p.d_30r.u_b,48,0.0625,0.244623027,0.035308293,0.071031123,-5,30,X05p.d_30r.u_b,Rep,54,0.148148148,0.358582503,0.048796898,0.097874183,-5,30,-0.085648148
65,X05p.d_35r.d_b,43,0.209302326,0.411625091,0.062772238,0.126679505,-5,-35,X05p.d_35r.d_b,Rep,55,0.2,0.403686714,0.054433105,0.109131806,-5,-35,0.009302326
67,X05p.d_35r.u_b,43,0.069767442,0.257769631,0.0393095,0.079329783,-5,35,X05p.d_35r.u_b,Rep,57,0.228070175,0.423317842,0.056069818,0.112321342,-5,35,-0.158302734
69,X05p.d_40r.d_b,44,0.181818182,0.390153653,0.058817876,0.118617552,-5,-40,X05p.d_40r.d_b,Rep,52,0.134615385,0.34464225,0.047793281,0.095949015,-5,-40,0.047202797
71,X05p.d_40r.u_b,44,0.068181818,0.254971706,0.038438431,0.077518484,-5,40,X05p.d_40r.u_b,Rep,54,0.148148148,0.358582503,0.048796898,0.097874183,-5,40,-0.07996633
73,X05p.d_45r.d_b,55,0.2,0.403686714,0.054433105,0.109131806,-5,-45,X05p.d_45r.d_b,Rep,44,0.204545455,0.408032457,0.061513207,0.124053206,-5,-45,-0.004545455
75,X05p.d_45r.u_b,56,0.125,0.333711906,0.044594129,0.089368632,-5,45,X05p.d_45r.u_b,Rep,48,0.3125,0.468417435,0.067610233,0.136014245,-5,45,-0.1875
77,X05p.d_50r.d_b,45,0.244444444,0.434613494,0.064788354,0.130572349,-5,-50,X05p.d_50r.d_b,Rep,52,0.153846154,0.364321307,0.050522275,0.1014277,-5,-50,0.090598291
79,X05p.d_50r.u_b,53,0.075471698,0.266678761,0.036631145,0.07350577,-5,50,X05p.d_50r.u_b,Rep,47,0.212765957,0.413688089,0.06034261,0.121463373,-5,50,-0.137294259
81,X05p.d_r.nc_b,48,0.104166667,0.308709278,0.044558346,0.08963983,-5,0,X05p.d_r.nc_b,Rep,47,0.127659574,0.337318149,0.049202909,0.099040319,-5,0,-0.023492908
83,X05p.u_05r.d_b,56,0.875,0.333711906,0.044594129,0.089368632,5,-5,X05p.u_05r.d_b,Rep,47,0.617021277,0.491368607,0.071673478,0.144271228,5,-5,0.257978723
85,X05p.u_05r.u_b,48,0.875,0.334218682,0.048240312,0.097046989,5,5,X05p.u_05r.u_b,Rep,49,0.857142857,0.353553391,0.050507627,0.101552391,5,5,0.017857143
87,X05p.u_10r.d_b,44,0.840909091,0.369989429,0.055778005,0.112487068,5,-10,X05p.u_10r.d_b,Rep,53,0.679245283,0.471233443,0.064728891,0.129888023,5,-10,0.161663808
